rank,scene_title_en,film,film_code,description_en,confidence
37,"Crabbe and Goyle meet Ron and Harry","Chamber of Secrets",COS,"The real Crabbe and Goyle come face to face with their Polyjuiced doubles.",high
36,"The Knight Bus / shrunken head","Prisoner of Azkaban",POA,"Extended Knight Bus ride with the shrunken head.",high
35,"Seamus and the bridge","Deathly Hallows Part 2",DH2,"Seamus and Neville rigging the wooden bridge with explosives.",high
34,"After Barty Crouch's death","Goblet of Fire",GOF,"Harry, Ron and Hermione discuss Crouch's death and what it means.",high
33,"Umbridge inspects Trelawney","Order of the Phoenix",OOTP,"Umbridge evaluates Trelawney's Divination class.",high
32,"Moody slams Harry","Goblet of Fire",GOF,"Moody roughs Harry up; Crouch Sr. sees his son's face in Moody.",high
31,"Umbridge's speech","Order of the Phoenix",OOTP,"Umbridge justifies her actions to the students, humanising her, then threatens Harry.",high
30,"Sir Cadogan","Prisoner of Azkaban",POA,"The knight portrait guarding Gryffindor Tower, changing passwords constantly.",high
29,"Hermione and Harry talk about Draco","Half-Blood Prince",HBP,"Hermione shows empathy for Draco's condition; Harry refuses to.",high
28,"The Ford Anglia in the Forbidden Forest","Chamber of Secrets",COS,"The car living wild in the forest.",high
27,"Preparing the Polyjuice Potion","Chamber of Secrets",COS,"Harry and Ron drag the unconscious bodies of Crabbe and Goyle and brew the potion.",high
26,"Gryffindor pyjama gathering","Prisoner of Azkaban",POA,"After Sirius breaks in; Gryffindors in pyjamas, Sir Cadogan, McGonagall comforting Neville.",high
25,"Harry and Luna at Dobby's grave","Deathly Hallows Part 1",DH1,"Luna thanks Dobby; Ron tells Harry he believes him about seeing Dumbledore.",high
24,"The Weird Sisters at the Yule Ball","Goblet of Fire",GOF,"Full concert performance, including students lifting Flitwick.",high
23,"Justin Finch-Fletchley","Chamber of Secrets",COS,"Justin introduces himself to Harry before the duelling club snake incident.",high
22,"Fred and George mock Harry","Chamber of Secrets",COS,"The twins joke about Harry being the Heir of Slytherin while he fears turning dark.",high
21,"The Ford Anglia takes off","Chamber of Secrets",COS,"Start of the flying car journey; a Muggle reacts to magic.",high
20,"The locket / Ron's warning","Deathly Hallows Part 1",DH1,"Injured Ron warns them not to say Voldemort's name because it is now Taboo-tracked.",high
19,"Neville defends Harry","Order of the Phoenix",OOTP,"After Seamus calls Harry a liar, Neville speaks up for him.",high
18,"Return from Hogsmeade","Prisoner of Azkaban",POA,"Students playing wizard games in the Great Hall; Harry is happy for his friends despite missing out.",high
17,"Arthur Weasley and his Muggle toys","Deathly Hallows Part 1",DH1,"Ron finds his father tinkering with Muggle objects (Potterwatch radio prototype).",high
16,"Harry overhears the Hufflepuffs","Chamber of Secrets",COS,"Harry alone with Hedwig, then Hufflepuff students arguing about whether he is the Heir.",high
15,"Ron remembers Tom Riddle","Chamber of Secrets",COS,"Ron recalls Riddle's award from his detention; includes the Ravenclaw ghost fragment and hospital wing time.",high
14,"Snape and Karkaroff argue","Goblet of Fire",GOF,"Snape chases couples out of the Yule Ball gardens and argues with Karkaroff.",high
13,"Mr Weasley confronts Runcorn","Deathly Hallows Part 1",DH1,"In the Ministry, Ron stays silent while Harry-as-Runcorn defends Arthur Weasley.",high
12,"Life in Gryffindor Tower","Order of the Phoenix",OOTP,"Neville with his plant, Dean and Seamus joking, Harry alone on the sofa.",high
11,"Neville and the leg-locker curse","Order of the Phoenix",OOTP,"Common room scene: anti-cheating quills, Seamus, Neville with bound legs.",high
10,"Filch and his Squib letter","Chamber of Secrets",COS,"Filch panics over his Kwikspell/Squib correspondence being discovered.",high
9,"Tonks arrives at the Battle of Hogwarts","Deathly Hallows Part 2",DH2,"Tonks leaves her son behind to fight beside Lupin.",high
8,"The Mirror of Erised obsession","Philosopher's Stone",PS,"Harry cannot stop returning to the mirror; Ron worries about him.",high
7,"Draco and Lucius at Borgin and Burkes","Chamber of Secrets",COS,"Lucius mistreats Draco; Draco touches the Vanishing Cabinet.",high
6,"Petunia's goodbye","Deathly Hallows Part 1",DH1,"Petunia's cold but painful farewell to Harry, acknowledging she also lost a sister.",high
5,"The Astronomy Tower","Half-Blood Prince",HBP,"After Dumbledore's death; Harry tells Ron and Hermione they are brilliant and they refuse to leave him alone.",high
4,"The birth of the Golden Trio","Philosopher's Stone",PS,"Harry, Ron and Hermione leaving the bathroom after the troll; Harry defends Hermione, Ron says that's what friends are for.",high
3,"In Noctem","Half-Blood Prince",HBP,"Choir sequence intercut with McGonagall, Snape and Draco before the Death Eaters attack.",high
2,"Dudley's goodbye","Deathly Hallows Part 1",DH1,"Dudley tells Harry he doesn't think he is a waste of space and asks why he isn't coming with them.",high
1,"The Hogwarts anthem","Goblet of Fire",GOF,"The whole school singing the Hogwarts school song, plus the Durmstrang/Beauxbatons arrival context.",high
